ɂah,snowshoe
ɂàh,fog; mist
ɂàh daetse,it is misty
ɂah ets'aèhmǫǫ̀,snowshoe (round nosed)
ɂàh gǫ̀hłı̨,it is foggy
ɂahkeè,snowshoe tracks
ɂahkwı̀,snowshoe front
ɂahkwı̀ ekw'a,snowshoe front crosspiece
ɂahkwı̀ łeetł'ı̨ı̨,snowshoe front joint
ɂahkw'ǫǫ̀,snowshoe frame
ɂahtł'à,snowshoe back
ɂahtł'à ekw'a,snowshoe back crosspiece
ɂahtł'ıı̀,snowshoe strap
ɂahtso,large snowshoe for hunting
ɂe k'e whelaa,parka or jacket trim
dı̀ı̀ ats'ı̨t'e,be determined
ɂechà,slip; lingerie; skirt
ɂedzaakweè,diamond
ɂedzıı̀wıı̀,blouse
ɂeh,jacket; coat; dress; skirt
ɂèh,dam; fish trap
ɂeh łàı̨łı̨ı̨,"one-piece garment (dress, jumper, suit)"
ɂeh wenı̨ı̨dààxaı̨̀ts'ı-lee,windbreaker
ɂehdaà,back and forth
ɂehdı̀a,jacket
Ɂehtł'ètı̀,James Lake
ɂehtł'ı̨,cloth; gauze
nı̀ı̨hxe,dusk comes; to get dark outside
ɂehtł'ı̨ gok'e łaèhchı,bandaging
ɂehtł'ı̨ kw'ıhwòa,gauze
ɂehtł'ı̨ naech'ıı,cloth (on a bolt)
ɂehtł'ı̨ą,sweater
ɂehtł'ı̨cho,stroud
ɂehtł'ı̨cho,stroud; woolen material used in beading
ts'eedı,call (animals)
ɂehtł'ı̨ch'ıı̀,rags
ɂehtł'ı̨tso,stroud
ɂehtł'ı̨tsoò gokaà k'e ats'ehɂı̨,applying a compress
ɂehtł'ı̨tsoò gok'e whehchı̀ı,compress; bandage
ɂehtł'ı̨ts'ıı̀,rags
Ɂek'adıı̀,Diavik Mine
Ɂek'atı̀,Ekati Mine; BHP mine
ɂełedaà,back and forth
ɂet'àà,lining
ɂet'ààts'edaa,T-shirt; underwear; underclothes
ɂetsàa,slip; lingerie
ɂetsèelı̨ı̨,flow
ɂetsı̨̀kweè,granite; basalt
ɂezı̀ı,blouse
ɂezhı̀ı,blouse
Ɂı̨hdaamı̨̀hk'èkweà,place named after rock in the Whatì area
Ɂı̨hdaatı̀dèa,Giant Mine
ɂǫ̀goede,be cast off; be divorced
ɂolı,spruce bough
ɂolıgoò,spruce needle
ɂǫ̀łets'eede,divorce
ɂoo,spruce bough
ts'eehkw'ı̨̀h,call (animals)
ɂoo nètèts'ele,lay down spruce boughs
ɂoogoò,spruce needle
ɂoorı̀chok'è,large eddy
ɂoorı̀k'è,eddy
ɂoorı̀tsok'è,large eddy
ɂǫ̀ǫ-ts'ǫ̀,aside; other side
ɂorı,spruce bough
ɂorıgoò,spruce needle
ɂoròk'è,eddy
ɂoròk'ècho,large eddy
edets'ıı̀ts'è,be very angry
ɂǫse ts'ı̨ı̨wǫ,think ahead; prepare for the next time
ɂǫ̀ts'eede,throw away; divorce
ɂǫ̀ts'eehdè,throw away (plural); abandon (plural)
ɂǫ̀ts'eehk'a,throw away (single object)
ɂǫ̀ts'eehxà,throw out (body or person); end a relationship
ɂǫ̀ts'eewa,throw off/away (clothes; blankets)
ɂǫ̀ts'ııde,cast off/out; let us divorce him/her
àɂą̀ąwąą̀,old squaw duck
Aàhkw'ǫ,You all listen!
ààht'àa,stuffed
aàlats'aada,work
aàlats'eeda,work
ą̀ataasah,shoveler (named after its call); pintail
aatł'è,be written; be painted
aats'ǫ̀,somewhere
aats'ǫ̀,somewhere
aats'ǫǫ̀,always; all the time
aats'ǫts'ǫ̀,always; continuously
àąwąą̀,old squaw duck
abà,dad; father; my father
aba,my older sister
Abè,Abel
nats'ı̀ı̀dzeh,start to shout; start to yell
achı̨,again
achoò,alone
adaade,becoming; getting to be
ade,be; get to be (situation); happen; occur; go; do; come
wets'ǫ̀ǫts'edèh,visit repeatedly (plural)
adęę̀,where?; what time?
adets'eɂı̨,bring upon one's self; self inflict
adets'edle,make oneself; do to self
adets'ehɂı̨,bring upon one's self; self inflict
adets'ele,make oneself; do to self
adets'ı̀ı̀hwhǫ,keep a habit for oneself (self control)
adets'ıle,allow to do to self
Adǫ̀,Adam
àdǫą ts'ı̨ı̨lı̨ı̨ tàda,Down's syndrome
adle,be done; get to be
adzà,became; got to be; happened; occurred
adzę,moonlight
adzęzaà,moon
adzęzaànèk'e,the heavens; sky; astronomy; outer space
adzęzah,moon
adzęzah daı̀ɂàa,new moon
adzęzah k'ènehsǫǫ,full moon
adzęzah k'ènehshǫǫ,full moon
adzęzah xenı̨ı̨dı̨,moonlight
adzı̀ı̀,caribou moss; lichen
adzı̀ı̀ degoo,white lichen
Aèch'ı̀akǫ̀,Weavers' store in Yellowknife
aèhłı̨,be comparable to; be same as
aehsı̨,I say; I said
Aèts'ı̀akǫ̀,Weavers' store in Yellowknife
àgı̨ą,friend; my friend
àgı̨ądeè,great friend
agodaade,becoming (situation); beginning to happen; getting to be
agode,become (situation); happen; come to be
agodı,be spoken; be sounded; be audible
agodle,cause to be; put in place; put in effect
agòdzà,became (situation); happened; got to be
agǫ̀hłı̨,(situation) remains the same; no change
agǫ̀ht'e,be (situation)
agòjà,became (situation); happened; got to be
agot'ı̨,be happening; taking place (now)
agowede,let happen; wish to happen
aghoo,Expression for the sound of baby cooing
